en,zh-Hans,pos,description
Experiment Driven Development, 实验驱动开发, noun, 
Java,Java,noun,Java是一种编程语言
Scala,Scala,noun,Scala是一种编程语言
algebraic data type,,,
alternative,,,
annotation,,,
anonymous class,,,
anonymous function,匿名函数,noun,
argument,,,
assign,,,
auxiliary constructor,,,
block,,,
boilerplate, 样板代码, noun,
bound variable,,,
by-name parameter,,,
by-value parameter,,,
checked exception, noun, 受检异常
class,,,
closure,,,
companion class,伴生类,noun,
companion object,伴生对象,noun,
contravariant,,,
covariant,,,
currying,柯里化,,
currying,柯里化,noun,
declare,,,
define,,,
direct subclass,,,
direct superclass,,,
equality,,,
existential type,,,
expression,表达式,noun,
filter expression,,,
filter,,,
first-class citizen,一等公民,noun,
first-class function,,,
for comprehension,,,
for expression,,,
for loop,for循环,noun,
free variable,自由变量,noun,
function literal,函数字面量,noun,
function value,函数值,noun,
function,函数,noun,
functional composition,,,
functional programming,函数式编程,noun,一种编程范式
functional style,函数式风格,,
higher-order function,高阶函数,noun,
immutability, 不变性, noun,
immutable programming, 不变性编程, noun,
immutable reference, 不变引用, noun,
imperative, 命令式, noun,
mutability, 可变性, noun,
positional notation,占位符,noun,
random contention slowdown, 随机争用降速, noun,
read-write lock, 读写锁, noun,
trait,特质,noun,Scala中的关键字
type class,类型类,noun,
unchecked exception, noun, 非受检异常
